Movie,My Rating,RT,Audience,IMDb,Release Year
Deadpool,2,84,90,80,2016
Life of Pi,4,87,84,80,2012
The Simpsons Movie,4,89,77,74,2007
300,4,60,89,78,2006
Edge of Tomorrow,4,90,90,79,2014
Shark Tale,2,35,49,60,2004
Speed,4,93,76,72,1994
Knock Knock,3,32,21,49,2015
Con Air,3,55,75,68,1997
Air Force One,4,79,66,64,1997
Oblivion,3,54,61,70,2013
Jumanji,4,48,62,68,1995
Get Smart,3,51,67,65,2008
Space Jam,3,35,63,63,1996
The Social Network,3,96,86,78,2010
Elf,4,84,78,69,2003
Polar Express,4,55,63,66,2004
Patriot Games,4,75,72,69,1992
London Has Fallen,1,25,52,59,2016
Manchester By the Sea,4,96,78,79,2016
Brooklyn,2,97,89,76,2015
Her,4,94,82,80,2013
Gravity,3,97,80,79,2013
Captain Phillips,4,93,89,79,2013
Moneyball,4,94,86,76,2011
The Blind Side,3,66,85,77,2009
Mystic River,4,87,89,80,2003
My Cousin Vinny,4,85,87,75,1992
Apocalypto ,4,65,79,78,2006
One Flew Over the Cuckoo's Nest,4,95,96,87,1975
Valkyrie ,4,62,65,71,2008
Fight Club,5,80,96,89,1999
Star Wars: The Last Jedi,3,91,50,81,2017
Minority Report,4,90,80,77,2002
The Killing of a Sacred Deer,4,79,65,77,2017
Predestination,4,84,74,74,2014
Mr. Nobody,4,64,76,79,2009
Call Me by Your Name,4,96,87,83,2017
Murder on the Orient Express,3,57,57,67,2017
It,4,85,85,76,2017
The Disaster Artist,5,91,89,79,2017
The Shape of Water,3,92,77,78,2017
Fargo,5,93,92,81,1996
Annihilation,5,87,68,71,2018
"Three Billboards Outside Ebbing, Missouri",4,92,87,82,2017
Close Encounters of the Third Kind,3,95,85,77,1977
Black Panther,4,97,75,77,2018
Spiderman: Homecoming,4,92,88,75,2017
Coco,5,97,94,85,2017
Breakfast at Tiffany's,4,88,91,77,1961
A Quiet Place,4,95,84,77,2018
Avengers: Infinity War,5,83,91,87,2018
Ready Player One,3,73,79,78,2018
Hellboy,2,81,65,69,2004
Baby Driver,5,97,91,85,2017
Mulholland Drive,4,83,88,80,2001
Ghost in the Shell,2,44,51,64,2017
The Truman Show,5,94,88,81,1998
Solo: A Star Wars Story,4,71,64,71,2018
The Fifth Element,3,72,87,77,1997
Hereditary,4,89,60,75,2018
Life,3,68,54,66,2017
Terminator,3,100,89,80,1984
The Virgin Suicides,3,76,81,72,2000
Glass,3,37,68,67,2019
Spiderman: Into the Spiderverse ,4,97,93,84,2018
Avengers: Endgame,5,94,90,85,2019
Burn After Reading,5,78,64,70,2008
Upgrade,4,87,87,75,2018
El Camino,4,91,81,74,2019
Midsommar,4,83,63,72,2019
The Lighthouse,4,91,72,78,2019
Parasite,5,99,93,86,2019
Joker,4,69,88,86,2019
Ad Astra,4,84,40,67,2019
Point Break,3,69,79,73,1991
Shutter Island,4,,,8.1,2010
Knives Out,4,,,8,2019
Pan's Labyrinth,2,,,8.2,2006
Ford v Ferrari,3,,,8.1,2019
Behind Enemy Lines,2,,,6.4,2001
The Internship,2,,,7.1,2015
Once Upon a Time in Hollywood,4,,,7.7,2019
Jojo Rabbit,5,,,8,2019
There Will Be Blood,4,,,,2007
